# Frequency (Hz)	EO Bandwidth (dB)
3.70e+10	-3.647149
3.71e+10	-3.661143
3.72e+10	-3.675136
3.73e+10	-3.689128
3.74e+10	-3.703117
3.75e+10	-3.717105
3.76e+10	-3.731091
3.77e+10	-3.745076
3.78e+10	-3.759058
3.79e+10	-3.773038
3.80e+10	-3.787016
3.81e+10	-3.800992
3.82e+10	-3.814965
3.83e+10	-3.828936
3.84e+10	-3.842904
3.85e+10	-3.856869
3.86e+10	-3.870832
3.87e+10	-3.884792
3.88e+10	-3.898749
3.89e+10	-3.912704
3.90e+10	-3.926655
3.91e+10	-3.940603
3.92e+10	-3.954547
3.93e+10	-3.968489
3.94e+10	-3.982427
3.95e+10	-3.996361
3.96e+10	-4.010292
3.97e+10	-4.024219
3.98e+10	-4.038143
3.99e+10	-4.052063
4.00e+10	-4.065979
4.01e+10	-4.079891
4.02e+10	-4.093799
4.03e+10	-4.107703
4.04e+10	-4.121603
4.05e+10	-4.135498
4.06e+10	-4.149390
4.07e+10	-4.163277
4.08e+10	-4.177159
4.09e+10	-4.191037
4.10e+10	-4.204910
4.11e+10	-4.218779
4.12e+10	-4.232643
4.13e+10	-4.246502
4.14e+10	-4.260357
4.15e+10	-4.274206
4.16e+10	-4.288051
4.17e+10	-4.301890
4.18e+10	-4.315724
4.19e+10	-4.329553
4.20e+10	-4.343377
4.21e+10	-4.357196
4.22e+10	-4.371009
4.23e+10	-4.384817
4.24e+10	-4.398619
4.25e+10	-4.412416
4.26e+10	-4.426207
4.27e+10	-4.439993
4.28e+10	-4.453773
4.29e+10	-4.467547
4.30e+10	-4.481315
4.31e+10	-4.495077
4.32e+10	-4.508834
4.33e+10	-4.522584
4.34e+10	-4.536329
4.35e+10	-4.550067
4.36e+10	-4.563799
4.37e+10	-4.577525
4.38e+10	-4.591245
4.39e+10	-4.604958
4.40e+10	-4.618665
4.41e+10	-4.632365
4.42e+10	-4.646059
4.43e+10	-4.659747
4.44e+10	-4.673428
4.45e+10	-4.687102
4.46e+10	-4.700770
4.47e+10	-4.714431
4.48e+10	-4.728086
4.49e+10	-4.741733
4.50e+10	-4.755374
4.51e+10	-4.769007
4.52e+10	-4.782634
4.53e+10	-4.796254
4.54e+10	-4.809867
4.55e+10	-4.823473
4.56e+10	-4.837071
4.57e+10	-4.850663
4.58e+10	-4.864247
4.59e+10	-4.877824
4.60e+10	-4.891394
4.61e+10	-4.904956
4.62e+10	-4.918512
4.63e+10	-4.932059
4.64e+10	-4.945600
4.65e+10	-4.959132
4.66e+10	-4.972658
4.67e+10	-4.986175
4.68e+10	-4.999686
4.69e+10	-5.013188
4.70e+10	-5.026683
4.71e+10	-5.040170
4.72e+10	-5.053650
4.73e+10	-5.067121
4.74e+10	-5.080585
4.75e+10	-5.094041
4.76e+10	-5.107489
4.77e+10	-5.120930
4.78e+10	-5.134362
4.79e+10	-5.147786
4.80e+10	-5.161203
4.81e+10	-5.174611
4.82e+10	-5.188011
4.83e+10	-5.201403
4.84e+10	-5.214787
4.85e+10	-5.228163
4.86e+10	-5.241531
4.87e+10	-5.254890
4.88e+10	-5.268242
4.89e+10	-5.281584
4.90e+10	-5.294919
4.91e+10	-5.308245
4.92e+10	-5.321563
4.93e+10	-5.334873
4.94e+10	-5.348174
4.95e+10	-5.361467
4.96e+10	-5.374751
4.97e+10	-5.388026
4.98e+10	-5.401294
4.99e+10	-5.414552
5.00e+10	-5.427802
5.01e+10	-5.441044
5.02e+10	-5.454277
5.03e+10	-5.467501
5.04e+10	-5.480716
5.05e+10	-5.493923
5.06e+10	-5.507121
5.07e+10	-5.520310
5.08e+10	-5.533491
5.09e+10	-5.546663
5.10e+10	-5.559826
5.11e+10	-5.572980
5.12e+10	-5.586125
5.13e+10	-5.599262
5.14e+10	-5.612389
5.15e+10	-5.625508
5.16e+10	-5.638618
5.17e+10	-5.651718
5.18e+10	-5.664810
5.19e+10	-5.677893
5.20e+10	-5.690967
5.21e+10	-5.704032
5.22e+10	-5.717087
5.23e+10	-5.730134
5.24e+10	-5.743172
5.25e+10	-5.756200
5.26e+10	-5.769219
5.27e+10	-5.782230
5.28e+10	-5.795231
5.29e+10	-5.808223
5.30e+10	-5.821205
5.31e+10	-5.834179
5.32e+10	-5.847143
5.33e+10	-5.860098
5.34e+10	-5.873044
5.35e+10	-5.885981
5.36e+10	-5.898908
5.37e+10	-5.911826
5.38e+10	-5.924735
5.39e+10	-5.937634
5.40e+10	-5.950524
5.41e+10	-5.963405
5.42e+10	-5.976276
5.43e+10	-5.989138
5.44e+10	-6.001991
5.45e+10	-6.014834
5.46e+10	-6.027668
5.47e+10	-6.040492
5.48e+10	-6.053307
5.49e+10	-6.066112
5.50e+10	-6.078909
5.51e+10	-6.091695
5.52e+10	-6.104472
5.53e+10	-6.117240
5.54e+10	-6.129998
5.55e+10	-6.142746
5.56e+10	-6.155486
5.57e+10	-6.168215
5.58e+10	-6.180935
5.59e+10	-6.193646
5.60e+10	-6.206346
5.61e+10	-6.219038
5.62e+10	-6.231720
5.63e+10	-6.244392
5.64e+10	-6.257054
5.65e+10	-6.269707
5.66e+10	-6.282351
5.67e+10	-6.294984
5.68e+10	-6.307609
5.69e+10	-6.320223
5.70e+10	-6.332828
5.71e+10	-6.345423
5.72e+10	-6.358009
5.73e+10	-6.370585
5.74e+10	-6.383151
5.75e+10	-6.395707
5.76e+10	-6.408254
5.77e+10	-6.420792
5.78e+10	-6.433319
5.79e+10	-6.445837
5.80e+10	-6.458345
5.81e+10	-6.470843
5.82e+10	-6.483332
5.83e+10	-6.495811
5.84e+10	-6.508280
5.85e+10	-6.520740
5.86e+10	-6.533189
5.87e+10	-6.545629
5.88e+10	-6.558060
5.89e+10	-6.570480
5.90e+10	-6.582891
5.91e+10	-6.595292
5.92e+10	-6.607683
5.93e+10	-6.620065
5.94e+10	-6.632437
5.95e+10	-6.644799
5.96e+10	-6.657151
5.97e+10	-6.669493
5.98e+10	-6.681826
5.99e+10	-6.694149
6.00e+10	-6.706462
6.01e+10	-6.718765
6.02e+10	-6.731059
6.03e+10	-6.743343
6.04e+10	-6.755617
6.05e+10	-6.767881
6.06e+10	-6.780135
6.07e+10	-6.792380
6.08e+10	-6.804614
6.09e+10	-6.816839
6.10e+10	-6.829055
6.11e+10	-6.841260
6.12e+10	-6.853455
6.13e+10	-6.865641
6.14e+10	-6.877817
6.15e+10	-6.889983
6.16e+10	-6.902140
6.17e+10	-6.914286
6.18e+10	-6.926423
6.19e+10	-6.938550
6.20e+10	-6.950667
6.21e+10	-6.962774
6.22e+10	-6.974872
6.23e+10	-6.986960
6.24e+10	-6.999037
6.25e+10	-7.011106
6.26e+10	-7.023164
6.27e+10	-7.035212
6.28e+10	-7.047251
6.29e+10	-7.059280
6.30e+10	-7.071299
6.31e+10	-7.083308
6.32e+10	-7.095308
6.33e+10	-7.107298
6.34e+10	-7.119277
6.35e+10	-7.131248
6.36e+10	-7.143208
6.37e+10	-7.155158
6.38e+10	-7.167099
6.39e+10	-7.179030
6.40e+10	-7.190951
6.41e+10	-7.202863
6.42e+10	-7.214764
6.43e+10	-7.226656
6.44e+10	-7.238538
6.45e+10	-7.250411
6.46e+10	-7.262273
6.47e+10	-7.274126
6.48e+10	-7.285969
6.49e+10	-7.297802
6.50e+10	-7.309626
6.51e+10	-7.321440
6.52e+10	-7.333243
6.53e+10	-7.345038
6.54e+10	-7.356822
6.55e+10	-7.368597
6.56e+10	-7.380362
6.57e+10	-7.392117
6.58e+10	-7.403863
6.59e+10	-7.415599
6.60e+10	-7.427325
6.61e+10	-7.439041
6.62e+10	-7.450748
6.63e+10	-7.462445
6.64e+10	-7.474132
6.65e+10	-7.485810
6.66e+10	-7.497478
6.67e+10	-7.509136
6.68e+10	-7.520784
6.69e+10	-7.532423
6.70e+10	-7.544052
6.71e+10	-7.555672
6.72e+10	-7.567281
6.73e+10	-7.578882
6.74e+10	-7.590472
6.75e+10	-7.602053
6.76e+10	-7.613624
6.77e+10	-7.625185
6.78e+10	-7.636737
6.79e+10	-7.648280
6.80e+10	-7.659812
6.81e+10	-7.671335
6.82e+10	-7.682848
6.83e+10	-7.694352
6.84e+10	-7.705846
6.85e+10	-7.717331
6.86e+10	-7.728806
6.87e+10	-7.740271
6.88e+10	-7.751727
6.89e+10	-7.763173
6.90e+10	-7.774610
6.91e+10	-7.786037
6.92e+10	-7.797454
6.93e+10	-7.808862
6.94e+10	-7.820260
6.95e+10	-7.831649
6.96e+10	-7.843028
